dataset,algorithm,MAE_mean,MAE_sd,MAE_median_fold,MAE_best,RMSE_mean,RMSE_sd,RMSE_median_fold,RMSE_best,MMRE_mean,MMRE_sd,MMRE_median_fold,MMRE_best,MdMRE_mean,MdMRE_sd,MdMRE_median_fold,MdMRE_best,PRED25_mean,PRED25_sd,PRED25_median_fold,PRED25_best,SA_mean,SA_sd,SA_median_fold,SA_best
COCOMO81,LR,63492.015245469345,199332.24258833769,315.75600585102666,False,155268.30890146826,488018.29782175185,524.670377410835,False,11.432886361700309,29.870942990560547,1.6485217243169021,False,0.9565704653039593,0.923747931476862,0.736892275198129,False,14.523809523809522,14.567330059563007,15.476190476190474,False,-3395.4772853751974,10925.91771344847,65.52543827486681,False
COCOMO81,DT,792.4680952380957,796.4763840064061,446.6190476190476,False,1532.2409298580842,1571.3603669314632,739.5434384589746,False,1.4349910619364965,1.1296741118840457,1.045266959405292,False,0.7906537254473921,0.41887886561864796,0.7308584272869987,False,12.857142857142856,13.050669708631405,14.285714285714285,False,28.95758318575198,77.26781614965715,56.54466582801659,False
COCOMO81,RF,458.6487471559634,445.7269882165845,240.09307573905664,True,974.1666269647097,1099.0796377149472,454.09408833750314,True,0.7557106147090689,0.21229475239355375,0.7209870467958612,True,0.564011700105551,0.13334114739370398,0.5233465011572227,True,17.14285714285714,13.031349683665898,16.666666666666664,True,65.1924457499928,18.263771511081682,71.30618238871857,True
COCOMO81,KNN,567.6064793261012,507.58284093433105,308.04061313365344,False,1143.4071840906897,1253.017470554016,565.8663638156477,False,1.862472391155362,1.2469002928379955,1.1153625092902837,False,0.8278278277775692,0.2236397459156595,0.7841722968925363,False,9.285714285714283,8.050764858994132,14.285714285714285,False,56.18481452184128,19.895284556291557,63.75445976413103,False
COCOMO81,SVR,582.1127245676031,572.9429285840984,271.17208687642966,False,1207.4971046708145,1380.271923423697,518.2091622341541,False,1.963353977663239,1.3839437532301324,1.3295504908863878,False,0.7990595822782677,0.410637310126624,0.6638224566928902,False,9.523809523809522,8.247860988423223,14.285714285714285,False,56.79812602695889,24.46919364156894,67.81171368773786,False
NASA93,LR,882.7292843740628,1773.996910362726,354.70814374880763,False,2065.3224661680097,4647.96293601419,611.3015931412627,False,1.3625300618480436,1.3039016415211353,0.8649649005915343,False,0.5276887517813603,0.19166542166839995,0.5341854446863049,False,18.0,18.21830731808944,15.555555555555555,False,22.45677731058492,116.51656898500774,59.79323052657941,False
NASA93,DT,422.9173278856022,319.86820692814064,366.6288888888888,False,745.6529475443978,558.0792289700747,631.9942343251187,False,1.3961655262060422,1.9209684104395806,0.5709119287991127,False,0.4727607621324578,0.23655350360890212,0.4437916666666667,False,32.222222222222214,14.19055115605038,31.666666666666664,False,53.34624674636564,23.68946833281977,54.970909695861614,False
NASA93,RF,312.5489667579249,209.3855342910743,293.50884492434125,True,603.7785098567242,538.4372376490226,554.5478946868953,True,0.6395690723941517,0.4225742600963124,0.46749521320727194,True,0.3817342366528926,0.1513857363129531,0.3518565194057427,True,38.666666666666664,15.106389966919544,33.33333333333333,True,65.83731678440209,13.853259825031158,60.5285748428759,True
NASA93,KNN,434.54871880948195,320.72484667708545,347.2755789967973,False,758.141850902081,667.8608440684579,551.6434608831629,False,0.8975832926509634,0.571987298586087,0.7227055130164123,False,0.6217779330220614,0.15005308664446396,0.63028187405931,False,17.333333333333332,13.107134781002006,15.555555555555555,False,54.06584494998041,19.597685704830056,52.26452373505162,False
NASA93,SVR,399.5775840456074,278.1716515390677,317.29610348068286,False,718.7843929139036,628.2349484361763,542.7129363170889,False,1.530686700881549,1.8489957748033299,0.8923840098505869,False,0.6116528974254802,0.16220079197702816,0.6001729920271355,False,23.666666666666668,16.98098670469477,22.22222222222222,False,57.22853385572446,14.547919482534528,54.92916627891388,False
Desharnais,LR,1917.3252455041318,532.5075405001256,2103.404433902656,False,2846.3224848265686,1097.6898731121903,2830.5764491037235,True,0.4039549693194721,0.12390253283028337,0.3634136630100062,True,0.33113783505757854,0.10021786794724424,0.3356313156247537,True,40.53571428571429,14.581511062047296,40.17857142857143,True,54.00826737637701,10.520528497517446,54.59739920729457,False
Desharnais,DT,2607.2321428571427,938.173059566684,2733.2857142857147,False,4090.3174763281613,1811.4914117672522,4078.9151674980913,False,0.5998314225360308,0.3218763473125021,0.5256173599167631,False,0.3725022599247383,0.18793953716615336,0.3915223966275456,False,40.535714285714285,24.758613563328446,33.035714285714285,True,37.470787908005285,20.611518882146303,37.99060135615029,False
Desharnais,RF,1945.3945162465625,686.2762645606065,1845.0107115631704,False,2922.5766169615754,1348.9062708236147,2757.065283426712,False,0.4638654211871195,0.11421668542304876,0.4705311523822555,False,0.32885328662143054,0.09025510804670683,0.3153638150844621,True,38.92857142857142,13.801311186847084,40.17857142857143,False,54.28888526070464,9.615689648763883,54.71948756995545,False
Desharnais,KNN,2062.7138328452597,786.9445968969841,2075.233607775712,False,3077.799966534195,1512.452278275955,3343.1269429904405,False,0.5293153814113039,0.16708560084873386,0.5238685702902415,False,0.34282859211755295,0.11556682628321106,0.32205611708708326,False,38.57142857142857,15.063170083701557,37.5,False,51.79946166990281,11.907472380981012,52.75109041763196,False
Desharnais,SVR,1909.5694360499124,1035.2907109726286,1500.1799581123187,True,2936.4439765794677,2102.8031406428167,2122.752011395849,False,0.41951181789635933,0.12039965835264556,0.4285316633736719,False,0.35595019803583255,0.1253978868267425,0.3268010388642648,False,40.17857142857143,10.556040387481072,42.857142857142854,False,56.5174242945949,16.681857291906912,63.333975469371815,True
