dataset,spec,algorithm,seed,MAE,RMSE,MMRE,MdMRE,PRED25,SA
COCOMO81,raw,LR,42,975.2553949870464,1422.8303404406586,19.429486371542716,7.278442865084624,7.619047619047618,2.850566863033093
COCOMO81,raw,LR,43,968.783039145085,1333.8397853478734,20.59694654840971,8.249621456135811,9.761904761904761,4.418363044422106
COCOMO81,raw,LR,44,976.0692178945152,1310.7289823212507,20.71469991943479,8.410945680591476,6.428571428571428,14.2531386417308
COCOMO81,raw,LR,45,945.1206151523011,1289.1846070058295,22.50501101418538,12.681638307411399,9.285714285714283,10.469792995818583
COCOMO81,raw,LR,46,1004.1841599232375,1372.1373303621137,20.055428828138027,9.215038567988254,6.19047619047619,5.547855347428934
COCOMO81,raw,LR,47,970.8313955243632,1300.6252809667467,20.852387466277452,11.231759033624428,6.19047619047619,11.737076609190385
COCOMO81,raw,LR,48,990.4549971152499,1384.972593376099,22.209582795902783,14.799499662456844,7.857142857142856,2.135741138578194
COCOMO81,raw,LR,49,990.8935780716818,1334.752652142582,22.588988912542323,7.982383371967946,6.666666666666666,3.517764629961512
COCOMO81,raw,LR,50,1069.5480056753247,1582.3325694102193,22.964869925124606,9.540798971834779,11.19047619047619,-9.042491067974918
COCOMO81,raw,LR,51,925.508687987016,1305.5605661515815,18.269145515598545,7.528697365314054,7.857142857142856,13.065015065576194
COCOMO81,raw,DT,42,391.46238095238095,754.0160940315686,1.194325986351333,0.7542665783528048,15.952380952380953,65.57797556922549
COCOMO81,raw,DT,43,502.27309523809527,970.7774860005527,1.9144275563353996,0.7935234839253031,17.380952380952376,58.52032925462129
COCOMO81,raw,DT,44,634.7595238095239,1046.1193216879547,1.4556770207649457,0.8931879769799662,12.38095238095238,57.220758328420274
COCOMO81,raw,DT,45,475.2440476190476,790.0835806370754,1.399019107421852,1.0019943914072704,4.999999999999999,65.09837615388088
COCOMO81,raw,DT,46,563.4230952380952,1052.5286493838223,1.7765490686280458,0.7801912901817112,17.619047619047613,51.3959357983425
COCOMO81,raw,DT,47,531.0126190476192,925.0365690696206,1.5995624085369247,0.7303220365299555,10.952380952380953,62.44879368505501
COCOMO81,raw,DT,48,445.13428571428574,790.6176068258208,1.4392910612762964,0.8408617068207711,9.285714285714283,63.29207971593636
COCOMO81,raw,DT,49,514.9640476190476,920.1320136771149,1.015023077056042,0.6930294247072001,15.952380952380949,64.21433149531279
COCOMO81,raw,DT,50,455.1052380952381,790.3829301440184,1.1994562471454155,0.6568685567848747,12.38095238095238,65.01927686469688
COCOMO81,raw,DT,51,589.4792857142858,1115.4024336713667,1.4638770261804337,0.85625501231928,10.714285714285714,55.08818166561476
COCOMO81,raw,RF,42,507.0235571428572,1003.160659204267,1.92657578226182,0.9757793031930693,15.714285714285712,55.019112057248094
COCOMO81,raw,RF,43,511.5194880952382,998.2104696518882,2.393728311223705,1.0450814222482785,11.428571428571425,55.21790752033968
COCOMO81,raw,RF,44,475.0602333333333,844.2170888725634,2.2022299622545423,1.1788459662668485,17.857142857142854,63.796272353103134
COCOMO81,raw,RF,45,484.8746095238096,823.8765444914764,2.683943799626351,1.1883981746170573,12.142857142857142,63.02690957428812
COCOMO81,raw,RF,46,521.1143095238097,992.306385151207,2.217513656676165,1.0789940346299343,19.285714285714285,56.166293751126716
COCOMO81,raw,RF,47,475.5946666666667,836.7445766082371,1.9590179731235402,1.2634334924078265,14.523809523809524,65.03160233548064
COCOMO81,raw,RF,48,491.138919047619,942.9177213442788,2.004248563036633,1.2531996906749134,17.857142857142854,57.516572212460645
COCOMO81,raw,RF,49,501.27384285714277,895.5831710269913,1.862699419522133,1.0732918045682838,14.523809523809522,64.31233103140985
COCOMO81,raw,RF,50,470.46420714285716,856.8414080381004,1.9244837436270508,1.0879303171421848,19.047619047619044,60.076111342363774
COCOMO81,raw,RF,51,508.66019047619056,927.1708521172128,2.3058820689407162,1.5444321967707122,11.19047619047619,60.67558034804458
COCOMO81,raw,KNN,42,525.0880952380952,973.5990031591176,3.4381858105506162,1.4161799400942279,9.76190476190476,56.3367343952411
COCOMO81,raw,KNN,43,586.6118095238096,1052.5204131355426,3.900521944784974,1.9915777705491464,9.523809523809522,53.538299333628615
COCOMO81,raw,KNN,44,570.6013809523809,974.3314193216069,3.484080942551812,1.7189250554438942,9.523809523809522,55.990545763274284
COCOMO81,raw,KNN,45,553.808380952381,972.639059619054,3.8405789825004923,1.7641606912579988,9.761904761904761,57.35476018203381
COCOMO81,raw,KNN,46,565.5739523809524,1029.407579628303,3.486705901429766,1.5608210267005187,12.619047619047617,56.52533064623765
COCOMO81,raw,KNN,47,563.2821428571428,1029.9256579272098,3.438072263935903,1.7922192618483141,10.0,55.24204154687004
COCOMO81,raw,KNN,48,557.7026666666667,938.7177514459914,3.7748994551813793,1.9098050251791807,7.1428571428571415,59.15432214909072
COCOMO81,raw,KNN,49,567.3350952380952,926.9775431394962,3.6251235955663006,1.4194945981280618,6.19047619047619,59.40560098806768
COCOMO81,raw,KNN,50,547.2940000000001,905.8041336393746,3.7559966629497388,1.6723568312989197,7.38095238095238,57.58627727189306
COCOMO81,raw,KNN,51,564.9540476190477,1026.753876742677,3.5446730996902276,1.432836898391264,12.857142857142856,56.56374156690392
COCOMO81,raw,SVR,42,641.9687136558041,1300.1274062071138,2.513196891952425,0.9880336501467385,7.857142857142856,51.561852197752366
