dataset,spec,algorithm,fold,MAE,RMSE,MMRE,MdMRE,PRED25,SA
COCOMO81,raw,KNN,6,373.2,624.7089669064575,3.2069352024857998,0.4777253049980323,16.666666666666664,50.57945077436927
COCOMO81,raw,KNN,7,472.8933333333334,746.0608654348072,5.3338811262901435,0.8997338836477988,16.666666666666664,50.40181305479183
COCOMO81,raw,KNN,8,327.12666666666667,388.0994618221812,2.4784653949397635,1.6409037146049656,0.0,57.283374404079645
COCOMO81,raw,KNN,9,811.1999999999998,1252.9818088597028,3.4888300570668354,0.6632700671455399,16.666666666666664,55.516318142447
COCOMO81,raw,KNN,10,197.14666666666665,272.08527290783917,6.593917068181192,3.4054378248700523,16.666666666666664,75.00046903671723
COCOMO81,raw,SVR,1,326.5561870244236,730.0966319625571,2.6156368761427786,1.4032872235312148,14.285714285714285,62.86880274796505
COCOMO81,raw,SVR,2,222.2359985851147,353.4080680493431,2.8240604376743375,0.7365268766229954,0.0,71.66695782092067
COCOMO81,raw,SVR,3,1719.6662298029553,4277.2198171701975,1.863274442146512,0.6315539682277344,14.285714285714285,14.585782523133062
COCOMO81,raw,SVR,4,1116.915500608682,2569.765822384411,1.8661524033130714,1.635007824802177,0.0,25.600284753974844
COCOMO81,raw,SVR,5,297.98094609518887,461.4048875611043,1.6147998936390333,0.8856055704117415,0.0,63.5926776417129
COCOMO81,raw,SVR,6,190.48199367684037,283.05695443376067,0.4747310747547753,0.46935432333141824,33.33333333333333,74.77565716746363
COCOMO81,raw,SVR,7,503.1142976752063,787.2746701590601,3.798987049908147,0.9375724628362145,16.666666666666664,47.23216583534979
COCOMO81,raw,SVR,8,216.35885829820882,307.616662253365,2.1634866635329235,0.7215718751949067,0.0,71.74757888600124
COCOMO81,raw,SVR,9,1599.9136146814765,2834.7719004756095,2.2374039810669277,0.9750025117211263,0.0,12.26571963133819
COCOMO81,raw,SVR,10,226.46351010994476,396.65864762172845,5.673436097345745,1.4848538647878566,0.0,71.28289496966423
COCOMO81,semilog,LR,1,307.67685938094576,540.8738011750476,3.9118605144140686,0.8167363615039787,14.285714285714285,65.01548398252804
COCOMO81,semilog,LR,2,198.89719377470888,334.5305837311515,0.7804581064238967,0.8461200994109508,14.285714285714285,74.64244039490731
COCOMO81,semilog,LR,3,1403.4375953759368,3281.894061679285,1.0413516235545963,0.751092256628347,0.0,30.292563807345964
COCOMO81,semilog,LR,4,634.4424560615602,1480.1086600272754,0.7504948956479743,0.7226922937679112,0.0,57.73866685058522
COCOMO81,semilog,LR,5,649.5151701454552,1505.8364239637792,0.974413632788144,0.4031768604618882,50.0,20.642213920183682
COCOMO81,semilog,LR,6,156.13402246954337,202.90226771178382,0.9844080313965992,0.37420990552402533,16.666666666666664,79.32414484659218
COCOMO81,semilog,LR,7,323.8351523211075,508.4669536466225,2.542050699197799,0.6494003966167168,16.666666666666664,66.0353925672056
COCOMO81,semilog,LR,8,214.65355805855492,281.8130133650927,2.2556918250792077,0.6989053379855465,16.666666666666664,71.97025920921729
COCOMO81,semilog,LR,9,630800.514792335,1544190.1012372049,96.3541885320996,0.7573424074955246,0.0,-34491.13586736057
COCOMO81,semilog,LR,10,231.0456547707344,356.56201217784997,4.733945756401198,3.5460287336447034,16.666666666666664,70.70184803003052
COCOMO81,semilog,DT,1,379.57142857142856,663.8413106415461,2.6824535349247824,1.83720930232558,14.285714285714285,56.84068425116593
COCOMO81,semilog,DT,2,205.28571428571428,329.64591393103694,0.6564873324708927,0.558455114822547,14.285714285714285,73.82796289237567
COCOMO81,semilog,DT,3,880.8571428571433,1841.853802170909,1.5161158045895031,0.7692307692307693,0.0,56.24864740486725
COCOMO81,semilog,DT,4,877.0000000000006,2042.1835536177136,0.8611408468745426,0.7694128787878791,0.0,41.581480214746946
COCOMO81,semilog,DT,5,513.6666666666666,815.2455662764032,1.757849969131554,0.8382680596128138,0.0,37.240188800306385
COCOMO81,semilog,DT,6,171.33333333333346,241.315837303177,0.7461985086699849,0.6924860853432282,16.666666666666664,77.31139487140567
COCOMO81,semilog,DT,7,285.8999999999999,443.7364007305838,0.45002637158913084,0.39072327044025146,33.33333333333333,70.01412232293045
COCOMO81,semilog,DT,8,2081.1666666666674,4395.440800799545,3.978354138465555,1.0512295081967211,0.0,-171.76145010916147
COCOMO81,semilog,DT,9,2349.3333333333344,4145.517579265587,1.229393071936041,0.5998748957464558,16.666666666666664,-28.83012398587845
COCOMO81,semilog,DT,10,180.5666666666667,403.6285338443422,0.47189104071297744,0.3996473699676758,33.33333333333333,77.10292519476147
COCOMO81,semilog,RF,1,303.48890136670167,655.4215138320521,1.3001262513296585,0.8427241084174061,14.285714285714285,65.49167736452178
COCOMO81,semilog,RF,2,174.2061529400767,292.0517557523965,0.7484151452243599,0.6942750414619547,14.285714285714285,77.79032060273543
COCOMO81,semilog,RF,3,1322.0655367760357,3381.596969515915,0.6378504768036992,0.38829500092101416,42.857142857142854,34.33423805164899
COCOMO81,semilog,RF,4,635.12556406499,1454.3652732968897,0.7533663259145484,0.5207461453351985,33.33333333333333,57.693163819326564
COCOMO81,semilog,RF,5,314.6292815095907,539.9749071757847,0.6935589483673624,0.525946856979247,0.0,61.55858344171868
COCOMO81,semilog,RF,6,134.89742646740947,172.0565200114503,0.5208967446819364,0.4892465279017654,16.666666666666664,82.13637485224139
COCOMO81,semilog,RF,7,176.6972501114116,263.5657966459832,0.6661315575138731,0.473666201360331,16.666666666666664,81.46756863338457
COCOMO81,semilog,RF,8,175.21124756054022,222.60843677617947,0.782371415225132,0.671867360435497,0.0,77.12068741291536
COCOMO81,semilog,RF,9,1188.581126954527,2391.8118271412245,0.8410399955662909,0.5422275495968107,16.666666666666664,34.821912335629925
COCOMO81,semilog,RF,10,161.58498380835132,368.2132694992216,0.6133492864638278,0.4911222086462859,16.666666666666664,79.50993098580537
COCOMO81,semilog,KNN,1,328.2431177037967,687.5725451101649,3.9821824688553114,0.8835271330786523,14.285714285714285,62.67698964414035
COCOMO81,semilog,KNN,2,213.411611349476,350.77409951178197,0.9149079986833246,0.6914576674484126,14.285714285714285,72.79198588722706
COCOMO81,semilog,KNN,3,1638.557928471292,4094.3415541292297,0.8958299078204753,0.784757377236301,14.285714285714285,18.61435618996361
COCOMO81,semilog,KNN,4,945.0893867602562,2259.646625230807,0.7193903443745358,0.646391391203154,16.666666666666664,37.045925838897766
COCOMO81,semilog,KNN,5,287.83810856351016,444.16018252113037,1.1336258706208782,0.8311487734355264,0.0,64.8319298841217
COCOMO81,semilog,KNN,6,211.60372829071775,256.9762178942475,0.941355752852528,0.7835872165487716,0.0,71.97863753933976
COCOMO81,semilog,KNN,7,487.55273529219426,775.3337086860168,2.8414919708126156,0.7659002852169319,0.0,48.86429981954387
COCOMO81,semilog,KNN,8,203.084391045507,296.32496651769793,1.0970991479596892,0.6535682196874399,16.666666666666664,73.48097608469786
COCOMO81,semilog,KNN,9,1168.641025972176,1913.0999442485142,2.4930387258409303,0.8124070622561845,0.0,35.915365378413924
COCOMO81,semilog,KNN,10,192.04275981208556,355.8419970573083,3.605801723733331,1.4255331516643175,16.666666666666664,75.64767895206694
COCOMO81,semilog,SVR,1,335.5629548347856,692.8185698019047,4.135386758741444,0.9250041732511344,0.0,61.844684738696344
COCOMO81,semilog,SVR,2,191.63078117217535,322.15682714923076,1.2065269837201755,0.6717651828669171,14.285714285714285,75.56884105037683
COCOMO81,semilog,SVR,3,1636.9384111496472,4103.949473389538,0.9801488074762341,0.4795736422456294,14.285714285714285,18.694796104594236
COCOMO81,semilog,SVR,4,1011.911945908113,2432.455841926925,0.7477944664364182,0.6558797305188633,16.666666666666664,32.594757088977225
COCOMO81,semilog,SVR,5,202.71887756012856,297.6714819565883,1.0597451662611244,0.6103385593328132,0.0,75.23180048873301
COCOMO81,semilog,SVR,6,186.99441497523733,228.3087941287041,0.8584886875644813,0.5749477418582183,0.0,75.23749547105643
COCOMO81,semilog,SVR,7,434.9804004688968,678.7053447675861,3.306197230504903,0.8253756369570969,16.666666666666664,54.37821238061187
COCOMO81,semilog,SVR,8,143.41412132546,201.8930972818748,1.4525739980526,0.47230088033422446,16.666666666666664,81.27279751219434
COCOMO81,semilog,SVR,9,1470.1941193635128,2759.29863660507,1.6240945596527265,0.8995163121185503,16.666666666666664,19.379132797569255
COCOMO81,semilog,SVR,10,206.7812189180737,357.71297970072203,4.262583118222282,1.8758939632992306,0.0,73.77874263677937
COCOMO81,loglog,LR,1,105.49008189109425,191.12980978717854,0.9722168528317657,0.2815860712149595,42.857142857142854,88.0052095337009
COCOMO81,loglog,LR,2,150.23320576685245,260.6327484297317,0.3959787804807801,0.4418956141177923,42.857142857142854,80.84665048511344
COCOMO81,loglog,LR,3,756.0249262037815,1790.3256773377495,0.40453360617336986,0.2978336068611648,42.857142857142854,62.448947158716194
COCOMO81,loglog,LR,4,311.2355225685879,722.8298163405848,0.3963352469673254,0.25915261874909257,50.0,79.26805184373248
COCOMO81,loglog,LR,5,161.771987249831,276.53871219815977,0.4858730210542997,0.4696944964501768,16.666666666666664,80.23469297106041
COCOMO81,loglog,LR,6,96.21738769263781,129.37234447260712,0.3555571217513999,0.3018317699830615,50.0,87.25853123037083
COCOMO81,loglog,LR,7,507.7520649329088,1075.6784281311657,0.5346127428507755,0.26395847685420143,50.0,46.74574568255445
COCOMO81,loglog,LR,8,56.79976303583479,87.69529174725939,0.22621177655366861,0.185637600571906,66.66666666666666,92.58301306872337
COCOMO81,loglog,LR,9,467.36511706877076,733.341817050931,0.3202671639598585,0.3445270091777133,33.33333333333333,74.37115239274505
COCOMO81,loglog,LR,10,76.61292836688868,150.86964580205597,0.41051171263489383,0.2640035988647682,50.0,90.28496242275227
COCOMO81,loglog,DT,1,379.57142857142856,663.8413106415461,2.6824535349247824,1.83720930232558,14.285714285714285,56.84068425116593
COCOMO81,loglog,DT,2,205.28571428571428,329.64591393103694,0.6564873324708927,0.558455114822547,14.285714285714285,73.82796289237567
COCOMO81,loglog,DT,3,880.8571428571433,1841.853802170909,1.5161158045895031,0.7692307692307693,0.0,56.24864740486725
COCOMO81,loglog,DT,4,875.6666666666673,2042.169842757128,0.8207368064705021,0.6601902173913048,0.0,41.67029590427222
COCOMO81,loglog,DT,5,513.6666666666666,815.2455662764032,1.757849969131554,0.8382680596128138,0.0,37.240188800306385
