spec,dataset,friedman_chi2,friedman_p,CD,avg_rank_LR,avg_rank_DT,avg_rank_RF,avg_rank_KNN,avg_rank_SVR
semilog,COCOMO81,10.159999999999997,0.0378170468169309,1.928987299076902,3.3,3.3,1.6,3.6,3.2
semilog,NASA93,9.360000000000014,0.05270479887852743,1.928987299076902,3.5,3.6,1.7,3.2,3.0
semilog,Desharnais,13.200000000000017,0.01033879708536391,1.928987299076902,2.3,4.5,2.6,3.2,2.4
loglog,COCOMO81,20.480000000000018,0.0004014124299719765,1.928987299076902,1.5,3.9,2.4,4.3,2.9
loglog,NASA93,17.039999999999992,0.0018986633294664557,1.928987299076902,1.9,4.0,2.4,4.2,2.5
loglog,Desharnais,12.0,0.01735126523666451,1.928987299076902,2.6,4.5,2.7,2.9,2.3
