spec,dataset,pair,n_folds,p_fold_raw,p_fold_holm,n_projects,p_project_raw,p_project_holm,median_AE_first,median_AE_second,A12_first_lower_error,cliffs_delta,magnitude,paired_win_rate_first
semilog,NASA93,RF-KNN,10,0.02734375,0.24609375,93,2.356067508464784e-05,0.00023560675084647838,68.90451826411504,142.5894226767109,0.591629090068216,0.18325818013643191,small,0.6881720430107527
semilog,NASA93,RF-SVR,10,0.009765625,0.09765625,93,9.371647353241045e-05,0.000843448261791694,68.90451826411504,141.36205196267974,0.608394033992369,0.21678806798473804,small,0.7204301075268817
semilog,NASA93,KNN-SVR,10,0.193359375,1.0,93,0.08026986623018992,0.4816191973811395,142.5894226767109,141.36205196267974,0.5120823216556828,0.024164643311365586,negligible,0.46236559139784944
semilog,Desharnais,LR-DT,10,0.02734375,0.19140625,77,0.004794395574964748,0.04794395574964748,1114.1350699166837,1539.9999999999973,0.5395513577331759,0.07910271546635173,negligible,0.6233766233766234
semilog,Desharnais,LR-RF,10,0.76953125,1.0,77,0.9615282104682442,1.0,1114.1350699166837,1074.2230222712387,0.5174565694046214,0.03491313880924274,negligible,0.5194805194805194
semilog,Desharnais,LR-KNN,10,0.16015625,0.9609375,77,0.7203721838017985,1.0,1114.1350699166837,1257.351658813945,0.519986506999494,0.039973013998988005,negligible,0.4935064935064935
semilog,Desharnais,LR-SVR,10,0.921875,1.0,77,0.5206786914199082,1.0,1114.1350699166837,857.3292417455714,0.4757969303423849,-0.04840613931523019,negligible,0.45454545454545453
semilog,Desharnais,DT-RF,10,0.013671875,0.13671875,77,0.01643528424336897,0.1479175581903207,1539.9999999999973,1074.2230222712387,0.4759655928487097,-0.04806881430258059,negligible,0.4025974025974026
semilog,Desharnais,DT-KNN,10,0.01953125,0.15625,77,0.15883602943302366,1.0,1539.9999999999973,1257.351658813945,0.47883285545623205,-0.04233428908753589,negligible,0.4675324675324675
semilog,Desharnais,DT-SVR,10,0.013671875,0.13671875,77,0.029578104159167656,0.23662483327334125,1539.9999999999973,857.3292417455714,0.4422330915837409,-0.11553381683251818,negligible,0.4155844155844156
semilog,Desharnais,RF-KNN,10,0.556640625,1.0,77,0.5306152046987886,1.0,1074.2230222712387,1257.351658813945,0.4980603811772643,-0.0038792376454713784,negligible,0.5194805194805194
semilog,Desharnais,RF-SVR,10,0.625,1.0,77,0.5239801803521666,1.0,1074.2230222712387,857.3292417455714,0.44813627930511046,-0.10372744138977907,negligible,0.4935064935064935
semilog,Desharnais,KNN-SVR,10,0.275390625,1.0,77,0.16492788227277966,1.0,1257.351658813945,857.3292417455714,0.4577500421656266,-0.08449991566874682,negligible,0.42857142857142855
loglog,COCOMO81,LR-DT,10,0.01953125,0.15625,63,1.593651093256237e-06,1.4342859839306134e-05,24.42235576261551,78.99999999999994,0.6283698664651045,0.256739732930209,small,0.7936507936507936
loglog,COCOMO81,LR-RF,10,0.048828125,0.244140625,63,0.00013713460749135702,0.000822807644948142,24.42235576261551,63.218574183453086,0.581254724111867,0.16250944822373392,small,0.746031746031746
loglog,COCOMO81,LR-KNN,10,0.00390625,0.0390625,63,1.6912212206081706e-07,1.6912212206081706e-06,24.42235576261551,94.75534778972045,0.654824892920131,0.30964978584026204,medium,0.8253968253968254
loglog,COCOMO81,LR-SVR,10,0.037109375,0.22265625,63,0.0009674610909313312,0.004837305454656656,24.42235576261551,51.070644756079645,0.5827664399092971,0.16553287981859421,small,0.6666666666666666
loglog,COCOMO81,DT-RF,10,0.048828125,0.244140625,63,0.0028366975691333225,0.01134679027653329,78.99999999999994,63.218574183453086,0.4431846812799194,-0.11363063744016122,negligible,0.3333333333333333
loglog,COCOMO81,DT-KNN,10,0.921875,0.921875,63,0.2763609565863606,0.5527219131727212,78.99999999999994,94.75534778972045,0.5157470395565633,0.03149407911312663,negligible,0.6190476190476191
loglog,COCOMO81,DT-SVR,10,0.431640625,0.86328125,63,0.14859051915190782,0.4457715574557235,78.99999999999994,51.070644756079645,0.4383975812547241,-0.12320483749055178,small,0.42857142857142855
loglog,COCOMO81,RF-KNN,10,0.02734375,0.19140625,63,8.506473013988442e-05,0.0005954531109791909,63.218574183453086,94.75534778972045,0.5749559082892416,0.14991181657848318,small,0.7301587301587301
loglog,COCOMO81,RF-SVR,10,0.130859375,0.392578125,63,0.3447802092335639,0.5527219131727212,63.218574183453086,51.070644756079645,0.490551776266062,-0.018896447467876,negligible,0.5714285714285714
loglog,COCOMO81,KNN-SVR,10,0.005859375,0.052734375,63,4.076801827455793e-06,3.2614414619646345e-05,94.75534778972045,51.070644756079645,0.4036281179138322,-0.19274376417233563,small,0.2222222222222222
loglog,NASA93,LR-DT,10,0.01953125,0.15625,93,0.005568603027802875,0.033411618166817245,69.43381275631945,109.99999999999997,0.5735923228118858,0.14718464562377154,small,0.6129032258064516
loglog,NASA93,LR-RF,10,0.083984375,0.419921875,93,0.35280544850451934,0.3814124654057869,69.43381275631945,68.90451826411504,0.5353220025436467,0.0706440050872934,negligible,0.5483870967741935
loglog,NASA93,LR-KNN,10,0.01953125,0.15625,93,1.0031019511744216e-06,1.0031019511744216e-05,69.43381275631945,145.77693617112712,0.6226153312521678,0.24523066250433567,small,0.7741935483870968
loglog,NASA93,LR-SVR,10,0.083984375,0.419921875,93,0.03144151096362113,0.15720755481810567,69.43381275631945,86.90563123909473,0.5636489767603191,0.12729795352063822,small,0.5913978494623656
loglog,NASA93,DT-RF,10,0.048828125,0.29296875,93,0.0037483226995015224,0.026238258896510658,109.99999999999997,68.90451826411504,0.4560064747369638,-0.08798705052607236,negligible,0.40860215053763443
loglog,NASA93,DT-KNN,10,0.845703125,1.0,93,0.19070623270289344,0.3814124654057869,109.99999999999997,145.77693617112712,0.537865649208001,0.0757312984160019,negligible,0.5806451612903226
loglog,NASA93,DT-SVR,10,0.130859375,0.419921875,93,0.08363663231134164,0.2509098969340249,109.99999999999997,86.90563123909473,0.4763556480517979,-0.04728870389640416,negligible,0.44086021505376344
loglog,NASA93,RF-KNN,10,0.013671875,0.123046875,93,1.730221725354589e-05,0.00013841773802836713,68.90451826411504,145.77693617112712,0.589894785524338,0.1797895710486761,small,0.6666666666666666
loglog,NASA93,RF-SVR,10,0.625,1.0,93,0.04528391936146791,0.18113567744587164,68.90451826411504,86.90563123909473,0.5315065325471152,0.06301306509423044,negligible,0.5913978494623656
loglog,NASA93,KNN-SVR,10,0.005859375,0.05859375,93,1.1790451910155788e-05,0.0001061140671914021,145.77693617112712,86.90563123909473,0.44016649323621226,-0.11966701352757547,negligible,0.3225806451612903
loglog,Desharnais,LR-DT,10,0.02734375,0.19140625,77,0.007286876614327289,0.0728687661432729,980.8977511148823,1539.9999999999973,0.5307809074042841,0.06156181480856815,negligible,0.6103896103896104
loglog,Desharnais,LR-RF,10,0.556640625,1.0,77,0.45696788508543007,1.0,980.8977511148823,1074.2230222712387,0.5230224321133412,0.046044864226682414,negligible,0.5714285714285714
loglog,Desharnais,LR-KNN,10,0.431640625,1.0,77,0.5609911326763181,1.0,980.8977511148823,1158.771170006911,0.5125653567212008,0.025130713442401698,negligible,0.5584415584415584
loglog,Desharnais,LR-SVR,10,0.845703125,1.0,77,0.47560810255515773,1.0,980.8977511148823,878.4703655279382,0.4707370551526396,-0.058525889694720834,negligible,0.4935064935064935
loglog,Desharnais,DT-RF,10,0.013671875,0.109375,77,0.022172551910764365,0.17738041528611492,1539.9999999999973,1074.2230222712387,0.48018215550683085,-0.03963568898633829,negligible,0.4155844155844156
loglog,Desharnais,DT-KNN,10,0.005859375,0.05859375,77,0.1893429841785872,1.0,1539.9999999999973,1158.771170006911,0.47664024287400913,-0.04671951425198173,negligible,0.4935064935064935
loglog,Desharnais,DT-SVR,10,0.009765625,0.087890625,77,0.012939863592193018,0.11645877232973716,1539.9999999999973,878.4703655279382,0.44763029178613595,-0.1047394164277281,negligible,0.38961038961038963
loglog,Desharnais,RF-KNN,10,0.6953125,1.0,77,0.7241754399330793,1.0,1074.2230222712387,1158.771170006911,0.49181986844324505,-0.01636026311350991,negligible,0.4935064935064935
loglog,Desharnais,RF-SVR,10,0.375,1.0,77,0.23179668053308677,1.0,1074.2230222712387,878.4703655279382,0.44004047900151794,-0.11991904199696413,negligible,0.42857142857142855
loglog,Desharnais,KNN-SVR,10,0.375,1.0,77,0.2107172547670969,1.0,1158.771170006911,878.4703655279382,0.45656940462135265,-0.0868611907572947,negligible,0.42857142857142855
