dataset,algorithm,raw_seed42,raw_mean10,raw_sd10,semilog_seed42,semilog_mean10,semilog_sd10,loglog_seed42,loglog_mean10,loglog_sd10,ratio_semilog_over_raw_mean10,ratio_semilog_over_loglog_mean10
COCOMO81,LR,975.2553949870464,981.664909147582,38.35173052824312,63492.015245469345,195566.6927181017,294603.6167033441,268.95029847771883,282.036762316595,23.457937081773554,199.21939848896088,693.4085156550337
COCOMO81,DT,391.46238095238095,510.2857619047619,72.8324731146414,792.4680952380957,564.6267380952384,122.98954613074177,792.1347619047622,564.9793571428572,122.39314716711081,1.1064912647917824,0.9993758726878056
COCOMO81,RF,507.0235571428572,494.67240238095235,17.694641835837558,458.6487471559634,442.83133973070187,13.404066959778813,458.7203823004208,442.4909826773941,12.765569151923867,0.8952012232727568,1.0007691841565864
COCOMO81,KNN,525.0880952380952,560.2251571428571,16.207528294188748,567.6064793261012,579.4657144190462,15.778595094504134,603.8331564614912,598.0582310199173,10.343735318967903,1.034344329294878,0.9689118623630281
COCOMO81,SVR,641.9687136558041,643.4183847878073,11.854710200462538,582.1127245676031,592.0890881365134,12.489661847596542,538.4519955833397,543.8471392666239,11.341736014925601,0.9202240752442569,1.0887049786359888
NASA93,LR,438.02325191896,446.3244675240924,14.517091223193017,882.7292843740628,1897.9539213762484,1115.0332569808377,228.15261878325973,254.6937739764077,24.81771545614508,4.2524084146782695,7.451905446075239
NASA93,DT,438.184,414.67344444444444,37.567949173137535,422.9173278856022,412.20206194529976,23.86504619044819,422.94399455226886,413.9613063897441,25.56297947930174,0.9940401717731028,0.9957502200875074
NASA93,RF,331.0068188888889,323.6901893015873,17.69690147016831,312.5489667579249,298.59888058667866,12.237902958999058,311.94777198592635,297.6907336546942,12.264844703065448,0.9224835674845534,1.0030506388990859
NASA93,KNN,457.18897777777784,461.7400022222222,22.277361702769973,434.54871880948195,429.51520544176253,12.24951212845741,456.38769861820157,441.5019168944332,9.926366151416527,0.9302100822424504,0.9728501485633713
NASA93,SVR,548.4535730720354,539.3467258439066,5.7936705184551425,399.5775840456074,388.4106324701071,8.402290535454167,357.91485817723327,344.8565624150391,8.163949876489594,0.7201501628889424,1.1262961903640683
Desharnais,LR,2242.659463581979,2171.822948313401,118.56448623052258,1917.3252455041318,2001.8753498023154,73.77180522144529,1777.9769582174358,1809.1202746157974,51.20362827181899,0.9217488706236097,1.1065463020292852
Desharnais,DT,2429.530357142857,2596.8321428571426,300.4798882663379,2607.2321428571427,2506.6310714285714,137.19817314123995,2599.8821428571428,2503.8260714285716,137.69804429179712,0.9652649588165803,1.0011202854830885
Desharnais,RF,2175.091375,2144.7527839285713,69.88271098086035,1945.3945162465625,1982.8086078580466,43.96040956198001,1949.0377567593987,1982.285524927304,44.63648384834158,0.924492847248395,1.000263878701713
Desharnais,KNN,2173.921071428572,2103.052642857143,51.28402630423956,2062.7138328452597,1981.0103655070805,54.423621372944915,1997.6222574170793,1935.6612795045162,55.708391275641496,0.9419689860049059,1.023428213646022
Desharnais,SVR,2790.2641434153975,2770.047862516533,34.393073447991334,1909.5694360499124,1958.4339568013802,42.01705604130334,1859.392750675081,1916.4715258293897,43.60374968960937,0.7070036526452588,1.0218956715017358
