dataset,spec,seed,LR_mean_MAE,LR_max_fold_MAE,worst_project_row,worst_project_actual,worst_project_pred,size[loc],size[equivphyskloc],size[PointsAdjust],size[PointsNonAjust]
NASA93,raw,45,438.6710766078395,829.4996152836559,89,8211.0,2646.4166727861157,,233.0,,
NASA93,raw,46,438.2802840777834,841.521675032987,89,8211.0,2804.961850826349,,233.0,,
NASA93,raw,47,458.181541057092,746.3441759910854,89,8211.0,2719.8004504301102,,233.0,,
NASA93,raw,48,449.8569445601426,746.4334043987009,89,8211.0,2688.9082080491567,,233.0,,
NASA93,raw,49,433.8102079643912,971.1734581155781,89,8211.0,2985.3137010186165,,233.0,,
NASA93,raw,50,462.9532713759548,683.0904663355007,89,8211.0,2681.323123003281,,233.0,,
NASA93,raw,51,448.2025616845578,870.0530208723434,89,8211.0,2780.945336380456,,233.0,,
NASA93,semilog,42,882.7292843740628,5919.61789602378,58,4560.0,50019.79435850461,,980.0,,
NASA93,semilog,43,1109.3113476137682,7884.680990942885,58,4560.0,68234.90317273214,,980.0,,
NASA93,semilog,44,1618.0886657375231,12055.618021950355,58,4560.0,122835.39309616158,,980.0,,
NASA93,semilog,45,1661.3975633587736,12909.267425397438,58,4560.0,124015.16214186055,,980.0,,
NASA93,semilog,46,1124.9466719844163,7419.1434732666075,58,4560.0,68238.34867200309,,980.0,,
NASA93,semilog,47,2484.4371663926913,20769.085084315957,58,4560.0,190422.92793351458,,980.0,,
NASA93,semilog,48,1483.7950466239781,11349.616746611282,58,4560.0,104914.69310461717,,980.0,,
NASA93,semilog,49,1454.8146343585352,11184.733281416096,58,4560.0,102716.92759679677,,980.0,,
NASA93,semilog,50,2476.6629957551613,20130.739618904237,58,4560.0,185002.80379403383,,980.0,,
NASA93,semilog,51,4683.355837563575,43350.25287499737,58,4560.0,386027.2248985192,,980.0,,
NASA93,loglog,42,228.15261878325973,465.76671929973577,89,8211.0,5305.113777964672,,233.0,,
NASA93,loglog,43,234.34688996497206,542.6969593298143,89,8211.0,5048.873521889507,,233.0,,
NASA93,loglog,44,240.9527119288476,584.7413007241487,89,8211.0,4961.397920079645,,233.0,,
NASA93,loglog,45,239.3273161431311,558.110845614464,89,8211.0,5089.319307431561,,233.0,,
NASA93,loglog,46,281.1800085329545,728.294056242573,58,4560.0,9312.012297809792,,980.0,,
NASA93,loglog,47,300.0466932643958,776.558427780217,58,4560.0,10426.561334351276,,980.0,,
NASA93,loglog,48,237.72988639884434,411.5205932584333,89,8211.0,5443.18260231123,,233.0,,
NASA93,loglog,49,238.75774608557208,493.91876076492207,66,444.0,3226.397692869624,,339.0,,
NASA93,loglog,50,275.78842569064534,550.4737306591064,58,4560.0,7473.553443428649,,980.0,,
NASA93,loglog,51,270.6554429714543,583.3804499707084,58,4560.0,8847.390981256032,,980.0,,
Desharnais,raw,42,2242.659463581979,2804.0320967625935,40,2352.0,13858.64457868683,,,793.0,698.0
Desharnais,raw,43,2186.571729616805,3598.601355472171,40,2352.0,13231.293363687753,,,793.0,698.0
Desharnais,raw,44,2153.445233310472,3759.44386854869,40,2352.0,12855.849631071687,,,793.0,698.0
Desharnais,raw,45,2015.5280954530194,3713.7468465122465,40,2352.0,14147.976817685098,,,793.0,698.0
Desharnais,raw,46,2292.196714398922,3717.162033224044,40,2352.0,14956.316177911636,,,793.0,698.0
