spec,dataset,pair,median_AE_first,median_AE_second,A12_first_lower_error,cliffs_delta,magnitude,paired_win_rate_first
semilog,NASA93,DT-KNN,109.99999999999997,142.5894226767109,0.5375187882992254,0.07503757659845078,negligible,0.5698924731182796
semilog,NASA93,DT-SVR,109.99999999999997,141.36205196267974,0.5537056307087524,0.1074112614175049,negligible,0.6236559139784946
semilog,NASA93,RF-KNN,68.90451826411504,142.5894226767109,0.591629090068216,0.18325818013643191,small,0.6881720430107527
semilog,NASA93,RF-SVR,68.90451826411504,141.36205196267974,0.608394033992369,0.21678806798473804,small,0.7204301075268817
semilog,NASA93,KNN-SVR,142.5894226767109,141.36205196267974,0.5120823216556828,0.024164643311365586,negligible,0.46236559139784944
semilog,Desharnais,LR-DT,1114.1350699166837,1539.9999999999973,0.5395513577331759,0.07910271546635173,negligible,0.6233766233766234
semilog,Desharnais,LR-RF,1114.1350699166837,1074.2230222712387,0.5174565694046214,0.03491313880924274,negligible,0.5194805194805194
semilog,Desharnais,LR-KNN,1114.1350699166837,1257.351658813945,0.519986506999494,0.039973013998988005,negligible,0.4935064935064935
semilog,Desharnais,LR-SVR,1114.1350699166837,857.3292417455714,0.4757969303423849,-0.04840613931523019,negligible,0.45454545454545453
semilog,Desharnais,DT-RF,1539.9999999999973,1074.2230222712387,0.4759655928487097,-0.04806881430258059,negligible,0.4025974025974026
semilog,Desharnais,DT-KNN,1539.9999999999973,1257.351658813945,0.47883285545623205,-0.04233428908753589,negligible,0.4675324675324675
semilog,Desharnais,DT-SVR,1539.9999999999973,857.3292417455714,0.4422330915837409,-0.11553381683251818,negligible,0.4155844155844156
semilog,Desharnais,RF-KNN,1074.2230222712387,1257.351658813945,0.4980603811772643,-0.0038792376454713784,negligible,0.5194805194805194
semilog,Desharnais,RF-SVR,1074.2230222712387,857.3292417455714,0.44813627930511046,-0.10372744138977907,negligible,0.4935064935064935
semilog,Desharnais,KNN-SVR,1257.351658813945,857.3292417455714,0.4577500421656266,-0.08449991566874682,negligible,0.42857142857142855
loglog,COCOMO81,LR-DT,24.42235576261551,78.99999999999994,0.6283698664651045,0.256739732930209,small,0.7936507936507936
loglog,COCOMO81,LR-RF,24.42235576261551,63.218574183453086,0.581254724111867,0.16250944822373392,small,0.746031746031746
loglog,COCOMO81,LR-KNN,24.42235576261551,94.75534778972045,0.654824892920131,0.30964978584026204,medium,0.8253968253968254
loglog,COCOMO81,LR-SVR,24.42235576261551,51.070644756079645,0.5827664399092971,0.16553287981859421,small,0.6666666666666666
loglog,COCOMO81,DT-RF,78.99999999999994,63.218574183453086,0.4431846812799194,-0.11363063744016122,negligible,0.3333333333333333
loglog,COCOMO81,DT-KNN,78.99999999999994,94.75534778972045,0.5157470395565633,0.03149407911312663,negligible,0.6190476190476191
loglog,COCOMO81,DT-SVR,78.99999999999994,51.070644756079645,0.4383975812547241,-0.12320483749055178,small,0.42857142857142855
loglog,COCOMO81,RF-KNN,63.218574183453086,94.75534778972045,0.5749559082892416,0.14991181657848318,small,0.7301587301587301
loglog,COCOMO81,RF-SVR,63.218574183453086,51.070644756079645,0.490551776266062,-0.018896447467876,negligible,0.5714285714285714
loglog,COCOMO81,KNN-SVR,94.75534778972045,51.070644756079645,0.4036281179138322,-0.19274376417233563,small,0.2222222222222222
loglog,NASA93,LR-DT,69.43381275631945,109.99999999999997,0.5735923228118858,0.14718464562377154,small,0.6129032258064516
loglog,NASA93,LR-RF,69.43381275631945,68.90451826411504,0.5353220025436467,0.0706440050872934,negligible,0.5483870967741935
loglog,NASA93,LR-KNN,69.43381275631945,145.77693617112712,0.6226153312521678,0.24523066250433567,small,0.7741935483870968
loglog,NASA93,LR-SVR,69.43381275631945,86.90563123909473,0.5636489767603191,0.12729795352063822,small,0.5913978494623656
loglog,NASA93,DT-RF,109.99999999999997,68.90451826411504,0.4560064747369638,-0.08798705052607236,negligible,0.40860215053763443
loglog,NASA93,DT-KNN,109.99999999999997,145.77693617112712,0.537865649208001,0.0757312984160019,negligible,0.5806451612903226
loglog,NASA93,DT-SVR,109.99999999999997,86.90563123909473,0.4763556480517979,-0.04728870389640416,negligible,0.44086021505376344
loglog,NASA93,RF-KNN,68.90451826411504,145.77693617112712,0.589894785524338,0.1797895710486761,small,0.6666666666666666
loglog,NASA93,RF-SVR,68.90451826411504,86.90563123909473,0.5315065325471152,0.06301306509423044,negligible,0.5913978494623656
loglog,NASA93,KNN-SVR,145.77693617112712,86.90563123909473,0.44016649323621226,-0.11966701352757547,negligible,0.3225806451612903
loglog,Desharnais,LR-DT,980.8977511148823,1539.9999999999973,0.5307809074042841,0.06156181480856815,negligible,0.6103896103896104
loglog,Desharnais,LR-RF,980.8977511148823,1074.2230222712387,0.5230224321133412,0.046044864226682414,negligible,0.5714285714285714
loglog,Desharnais,LR-KNN,980.8977511148823,1158.771170006911,0.5125653567212008,0.025130713442401698,negligible,0.5584415584415584
loglog,Desharnais,LR-SVR,980.8977511148823,878.4703655279382,0.4707370551526396,-0.058525889694720834,negligible,0.4935064935064935
loglog,Desharnais,DT-RF,1539.9999999999973,1074.2230222712387,0.48018215550683085,-0.03963568898633829,negligible,0.4155844155844156
loglog,Desharnais,DT-KNN,1539.9999999999973,1158.771170006911,0.47664024287400913,-0.04671951425198173,negligible,0.4935064935064935
loglog,Desharnais,DT-SVR,1539.9999999999973,878.4703655279382,0.44763029178613595,-0.1047394164277281,negligible,0.38961038961038963
loglog,Desharnais,RF-KNN,1074.2230222712387,1158.771170006911,0.49181986844324505,-0.01636026311350991,negligible,0.4935064935064935
loglog,Desharnais,RF-SVR,1074.2230222712387,878.4703655279382,0.44004047900151794,-0.11991904199696413,negligible,0.42857142857142855
loglog,Desharnais,KNN-SVR,1158.771170006911,878.4703655279382,0.45656940462135265,-0.0868611907572947,negligible,0.42857142857142855
