spec,dataset,pairs_significant_per_fold_holm,pairs_significant_per_project_holm,pairs_total
semilog,COCOMO81,1,3,10
semilog,NASA93,0,4,10
semilog,Desharnais,0,1,10
loglog,COCOMO81,1,7,10
loglog,NASA93,0,5,10
loglog,Desharnais,0,0,10
