dataset,algorithm,spec,metric,seed42,mean10,sd10,min10,max10
COCOMO81,LR,raw,MAE,975.2553949870464,981.664909147582,38.35173052824312,925.508687987016,1069.5480056753247
COCOMO81,LR,raw,RMSE,1422.8303404406586,1363.6964707524953,87.72873407331446,1289.1846070058295,1582.3325694102193
COCOMO81,LR,raw,MMRE,19.429486371542716,21.018654729715635,1.534499554403358,18.269145515598545,22.964869925124606
COCOMO81,LR,raw,MdMRE,7.278442865084624,9.691882528240962,2.467458951453545,7.278442865084624,14.799499662456844
COCOMO81,LR,raw,PRED25,7.619047619047618,7.904761904761903,1.6940308405658109,6.19047619047619,11.19047619047619
COCOMO81,LR,raw,SA,2.850566863033093,5.895282326776487,6.9186353880223725,-9.042491067974918,14.2531386417308
COCOMO81,DT,raw,MAE,391.46238095238095,510.2857619047619,72.8324731146414,391.46238095238095,634.7595238095239
COCOMO81,DT,raw,RMSE,754.0160940315686,915.5096685128916,129.9672888712432,754.0160940315686,1115.4024336713667
COCOMO81,DT,raw,MMRE,1.194325986351333,1.4457208559696686,0.271783795334343,1.015023077056042,1.9144275563353996
COCOMO81,DT,raw,MdMRE,0.7542665783528048,0.8000500458009137,0.10199685309550845,0.6568685567848747,1.0019943914072704
COCOMO81,DT,raw,PRED25,15.952380952380953,12.76190476190476,4.01904009628424,4.999999999999999,17.619047619047613
COCOMO81,DT,raw,SA,65.57797556922549,60.787603853110625,4.930197787872929,51.3959357983425,65.57797556922549
COCOMO81,RF,raw,MAE,507.0235571428572,494.67240238095235,17.694641835837558,470.46420714285716,521.1143095238097
COCOMO81,RF,raw,RMSE,1003.160659204267,912.1028876506223,70.48499327351136,823.8765444914764,1003.160659204267
COCOMO81,RF,raw,MMRE,1.92657578226182,2.1480323280292657,0.2618483951118174,1.862699419522133,2.683943799626351
COCOMO81,RF,raw,MdMRE,0.9757793031930693,1.1689386402519109,0.1612290568278604,0.9757793031930693,1.5444321967707122
COCOMO81,RF,raw,PRED25,15.714285714285712,15.357142857142856,3.0947293029119423,11.19047619047619,19.285714285714285
COCOMO81,RF,raw,SA,55.019112057248094,60.083869252586524,3.893317892740229,55.019112057248094,65.03160233548064
